gene,log2FC,pval,-log10p,gene_name
YGR253C,0.6691747895889067,0.4814372262861206,0.3174603317062343,PUP2
YOR257W,-0.7380677196968115,0.48144929259846836,0.317449447073898,CDC31
YPL242C,-1.0445713540527077,0.4814905695554905,0.3174122145210045,IQG1
YJL096W,-1.1110169973024449,0.4818459349214972,0.3170918005767606,MRPL49
YKR008W,0.7644671040810948,0.48289308299284506,0.31614901543119944,RSC4
YDR255C,0.9385371459660229,0.4830514400837935,0.31600661882406045,RMD5
YDR483W,-1.0113588750740956,0.48327959332106507,0.3158015427364853,KRE2
YNL074C,0.8762840296768897,0.48334216634981564,0.315745315735865,MLF3
YHR065C,-1.7440261696099255,0.48380753271198507,0.31532737411018424,RRP3
YPL266W,0.8134766981685236,0.48393336979263923,0.3152144299328461,DIM1
YNL195C,-0.9579624239659829,0.4839424698923147,0.31520626334181884,YNL195C
YGR238C,-1.892355353266772,0.4839894109608909,0.3151641400323659,KEL2
YDR240C,-1.819421352495407,0.48410131122795874,0.31506374103542556,SNU56
YMR194C-B,1.0878183179373555,0.4842560065212571,0.3149249837573094,CMC4
YOR377W,0.7875967214597462,0.48431876705050303,0.3148687019867849,ATF1
YGL207W,-1.04255507008702,0.48514772349182167,0.3141260021628014,SPT16
YLR182W,-1.7969025152539344,0.4852871759520524,0.3140011850639571,SWI6
YER080W,-0.9984053915461107,0.48542381595382367,0.31387892004447493,AIM9
Q0045,-0.746651217240619,0.48556429006138446,0.31375326015263566,COX1
YGL049C,-0.7158124937208556,0.48563706682941454,0.3136881726224317,TIF4632
YLR109W,0.3571279238856815,0.48567994684249094,0.31364982766849187,AHP1
YBR285W,0.6576130903001017,0.48597178656106355,0.31338894328197686,YBR285W
YDR150W,-1.0164107484931304,0.4859889173172711,0.31337363444724137,NUM1
YHL007C,-1.5581860337971984,0.4862251499257819,0.31316258109222894,STE20
YOL007C,-1.56628256909802,0.48631074048073564,0.3130861386571845,CSI2
YKR049C,-1.5999383074120017,0.48648470819956047,0.31293080647255545,FMP46
YPR173C,-0.9667980821523797,0.48648767932720527,0.3129281540964804,VPS4
YMR012W,0.6635554200082967,0.48657492764330634,0.3128502732652407,CLU1
YKL060C,0.17883682613133378,0.48702348581631527,0.3124500952237797,FBA1
YBR082C,-0.39342953707227446,0.4870303617242774,0.31244396379912875,UBC4
YBR013C,1.0406721477584338,0.4881672220174753,0.3114313846378841,YBR013C
YNL150W,-0.39829174366093145,0.48856013127976217,0.3110819763139989,YNL150W
YFL041W,0.8790364302948538,0.4890995701924338,0.31060271882487656,FET5
YHR048W,-1.7638516812131266,0.4892701066929922,0.3104513178490379,YHK8
YGR206W,-1.0494844994802117,0.48932527175231566,0.3104023540353696,MVB12
YDR451C,1.4039113908228036,0.48946437469518,0.31027891251526674,YHP1
YGL022W,0.6905835161075874,0.4894819702246743,0.31026330054346457,STT3
YOR353C,-1.7974266143240674,0.49011528118883385,0.30970175651098414,SOG2
YDL106C,-1.7024598036156593,0.49011845671824583,0.30969894266190423,PHO2
YBL036C,0.9203708865988185,0.49037747543591614,0.3094694865291011,YBL036C
YCR024C-B,0.41650642362022927,0.4907796167976577,0.30911348281570705,YCR024C-B
YPL063W,0.6959671291375935,0.49079735279883596,0.3090977883817866,TIM50
Q0160,0.7845809504658711,0.4908301665660296,0.30906875325849015,SCEI
YNL220W,0.8205465168310443,0.49090070873942926,0.3090063408856652,ADE12
