gene,class,gene_name
YHR043C,background,DOG2
YHR044C,background,DOG1
YHR045W,background,YHR045W
YHR046C,background,INM1
YHR047C,background,AAP1
YHR048W,background,YHK8
YHR049W,background,FSH1
YHR050W,background,SMF2
YHR051W,background,COX6
YHR052W,background,CIC1
YHR054C,background,YHR054C
YHR055C,background,CUP1-2
YHR056C,background,RSC30
YHR057C,background,CPR2
YHR058C,background,MED6
YHR059W,background,FYV4
YHR060W,background,VMA22
YHR061C,background,GIC1
YHR062C,background,RPP1
YHR063C,background,PAN5
YHR064C,background,SSZ1
YHR065C,background,RRP3
YHR066W,background,SSF1
YHR067W,background,HTD2
YHR068W,background,DYS1
YHR069C,background,RRP4
YHR070W,background,TRM5
YHR071W,background,PCL5
YHR072W,background,ERG7
YHR073W,background,OSH3
YHR074W,background,QNS1
YHR075C,background,PPE1
YHR076W,background,PTC7
YHR077C,background,NMD2
YHR078W,background,YHR078W
YHR079C,background,IRE1
YHR080C,background,LAM4
YHR081W,background,LRP1
YHR082C,background,KSP1
YHR083W,background,SAM35
YHR084W,background,STE12
YHR085W,background,IPI1
YHR086W,background,NAM8
YHR087W,background,RTC3
YHR088W,background,RPF1
YHR089C,time_specific,GAR1
YHR090C,background,YNG2
YHR091C,background,MSR1
YHR092C,background,HXT4
YHR094C,time_specific,HXT1
YHR095W,background,YHR095W
YHR096C,background,HXT5
YHR097C,background,YHR097C
YHR098C,background,SFB3
YHR099W,background,TRA1
YHR100C,background,GEP4
YHR101C,background,BIG1
YHR102W,background,KIC1
YHR103W,background,SBE22
YHR104W,background,GRE3
YHR105W,background,YPT35
YHR106W,background,TRR2
YHR107C,background,CDC12
YHR108W,background,GGA2
YHR109W,background,CTM1
YHR110W,background,ERP5
YHR111W,background,UBA4
YHR112C,background,YHR112C
YHR113W,background,APE4
YHR114W,background,BZZ1
YHR115C,background,DMA1
YHR116W,background,COX23
YHR117W,background,TOM71
YHR118C,background,ORC6
YHR119W,background,SET1
YHR120W,background,MSH1
YHR121W,background,LSM12
YHR122W,background,CIA2
